program,input,iteration,path_rank,archetype
sqlite,30,0,1,1
sqlite,30,0,2,7
sqlite,30,0,3,7
sqlite,30,0,4,3
sqlite,30,0,5,1
sqlite,30,0,6,1
sqlite,30,0,7,1
sqlite,30,0,8,1
sqlite,30,0,9,1
sqlite,30,0,10,7
sqlite,30,1,1,1
sqlite,30,1,2,7
sqlite,30,1,3,3
sqlite,30,1,4,1
sqlite,30,1,5,1
sqlite,30,1,6,1
sqlite,30,1,7,1
sqlite,30,1,8,1
sqlite,30,1,9,7
sqlite,30,1,10,7
sqlite,30,2,1,1
sqlite,30,2,2,7
sqlite,30,2,3,7
sqlite,30,2,4,3
sqlite,30,2,5,1
sqlite,30,2,6,1
sqlite,30,2,7,2
sqlite,30,2,8,1
sqlite,30,2,9,1
sqlite,30,2,10,7
sqlite,31,0,1,1
sqlite,31,0,2,7
sqlite,31,0,3,3
sqlite,31,0,4,3
sqlite,31,0,5,1
sqlite,31,0,6,1
sqlite,31,0,7,1
sqlite,31,0,8,1
sqlite,31,0,9,1
sqlite,31,0,10,7
sqlite,31,1,1,8
sqlite,31,1,2,7
sqlite,31,1,3,3
sqlite,31,1,4,3
sqlite,31,1,5,8
sqlite,31,1,6,8
sqlite,31,1,7,8
sqlite,31,1,8,8
sqlite,31,1,9,8
sqlite,31,1,10,8
sqlite,31,2,1,1
sqlite,31,2,2,7
sqlite,31,2,3,3
sqlite,31,2,4,3
sqlite,31,2,5,1
sqlite,31,2,6,1
sqlite,31,2,7,1
sqlite,31,2,8,1
sqlite,31,2,9,1
sqlite,31,2,10,7
sqlite,32,0,1,1
sqlite,32,0,2,7
sqlite,32,0,3,3
sqlite,32,0,4,1
sqlite,32,0,5,1
sqlite,32,0,6,1
sqlite,32,0,7,1
sqlite,32,0,8,1
sqlite,32,0,9,7
sqlite,32,0,10,7
sqlite,32,1,1,1
sqlite,32,1,2,7
sqlite,32,1,3,3
sqlite,32,1,4,1
sqlite,32,1,5,1
sqlite,32,1,6,1
sqlite,32,1,7,1
sqlite,32,1,8,7
sqlite,32,1,9,7
sqlite,32,1,10,7
sqlite,32,2,1,1
sqlite,32,2,2,7
sqlite,32,2,3,3
sqlite,32,2,4,1
sqlite,32,2,5,1
sqlite,32,2,6,1
sqlite,32,2,7,1
sqlite,32,2,8,1
sqlite,32,2,9,7
sqlite,32,2,10,7
sqlite,33,0,1,8
sqlite,33,0,2,8
sqlite,33,0,3,3
sqlite,33,0,4,3
sqlite,33,0,5,8
sqlite,33,0,6,8
sqlite,33,0,7,8
sqlite,33,0,8,8
sqlite,33,0,9,8
sqlite,33,0,10,8
sqlite,33,1,1,1
sqlite,33,1,2,7
sqlite,33,1,3,3
sqlite,33,1,4,3
sqlite,33,1,5,1
sqlite,33,1,6,1
sqlite,33,1,7,1
sqlite,33,1,8,1
sqlite,33,1,9,1
sqlite,33,1,10,7
sqlite,33,2,1,1
sqlite,33,2,2,7
sqlite,33,2,3,3
sqlite,33,2,4,3
sqlite,33,2,5,1
sqlite,33,2,6,1
sqlite,33,2,7,1
sqlite,33,2,8,1
sqlite,33,2,9,1
sqlite,33,2,10,1
sqlite,34,0,1,1
sqlite,34,0,2,7
sqlite,34,0,3,3
sqlite,34,0,4,3
sqlite,34,0,5,1
sqlite,34,0,6,1
sqlite,34,0,7,1
sqlite,34,0,8,1
sqlite,34,0,9,1
sqlite,34,0,10,7
sqlite,34,1,1,1
sqlite,34,1,2,7
sqlite,34,1,3,3
sqlite,34,1,4,3
sqlite,34,1,5,1
sqlite,34,1,6,1
sqlite,34,1,7,2
sqlite,34,1,8,1
sqlite,34,1,9,1
sqlite,34,1,10,7
sqlite,34,2,1,1
sqlite,34,2,2,7
sqlite,34,2,3,3
sqlite,34,2,4,3
sqlite,34,2,5,8
sqlite,34,2,6,1
sqlite,34,2,7,2
sqlite,34,2,8,1
sqlite,34,2,9,1
sqlite,34,2,10,1
sqlite,35,0,1,1
sqlite,35,0,2,7
sqlite,35,0,3,3
sqlite,35,0,4,3
sqlite,35,0,5,1
sqlite,35,0,6,1
sqlite,35,0,7,1
sqlite,35,0,8,1
sqlite,35,0,9,1
sqlite,35,0,10,7
sqlite,35,1,1,1
sqlite,35,1,2,7
sqlite,35,1,3,3
sqlite,35,1,4,3
sqlite,35,1,5,1
sqlite,35,1,6,1
sqlite,35,1,7,1
sqlite,35,1,8,1
sqlite,35,1,9,7
sqlite,35,1,10,7
sqlite,35,2,1,1
